pid,title,language,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-15-004,SHA-15-004,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.9 by 18.2,1962,الخرطوم، المطار,الكير احمد المصطفى وشرحبيل احمد وحسن سروجي واحمد داؤود,,yes,no,no
SHA-15-005,SHA-15-005,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا، منزل السفير السوداني,شرحبيل احمد واخرين,,yes,no,no
SHA-15-006,SHA-15-006,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,أثيوبيا، اديس ابابا, شرحبيل احمد والفنانين السودانيين والاثيوبيين وموظفين من السفارة السوداني,,yes,no,no
SHA-15-007,SHA-15-007,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.5,1962,أثيوبيا، اديس ابابا,شرحبيل احمد واحمد مصطفى وفنانين اخر يعزفون في المسرح القومي,,yes,no,no
SHA-15-008,SHA-15-008,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.5,1962,أثيوبيا، اديس ابابا,يعزف شرحبيل احمد وفنانين اخر في المسرح القومي,,yes,no,no
SHA-15-009,SHA-15-009,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.2,1991,أثيوبيا، اديس ابابا,شرحبيل احمد والفنانين الاخر,,yes,no,no
SHA-15-010,SHA-15-010,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.2,1991,أثيوبيا، اديس ابابا,شرحبيل احمد والفنانين الاخر,,yes,no,no
SHA-15-011,SHA-15-011,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.2,2007,أثيوبيا، اديس ابابا,شرحبيل احمد وفنانين اخر,,yes,no,no
SHA-15-012,SHA-15-012,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.1 by 16.4,1962,أثيوبيا، اديس ابابا,شرحبيل احمد واخرين من ضمنهم عبد اللطيف خضر وعلي نور الجليل وطيوبا وحسن سروجي واحمد داؤود,,yes,no,no
SHA-15-013,SHA-15-013,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.1 by 16.6,1962,أثيوبيا، اديس ابابا,شرحبيل احمد وفرقته وموظفين من السفارة السوداني,,yes,no,no
SHA-15-014,SHA-15-014,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.1 by 16.6,1962,أثيوبيا، مصوع,شرحبيل احمد ومجموعة في المطعم,,yes,no,no
SHA-15-015,SHA-15-015,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.1 by 16.4,1962,أثيوبيا، مصوع,مجموعة من الزائرين من ضمنهم شرحبيل احمد واحمد المصطفى وعثمان حسين,,yes,no,no
SHA-15-016,SHA-15-016,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 12.1 by 16.4,1962,اثيوبيا، اديس ابابا,شرحبيل احمد وفرقته امام جمهور في المسرح القومي,,yes,no,no
SHA-16-001,SHA-16-001,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1993-1995,بريطانيا، لندن,شرحبيل احمد في جمهور ,,yes,no,no
SHA-16-002,SHA-16-002,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1998,الفرنسا,شرحبيل احمد مع شخصان اخران,,yes,no,no
SHA-16-003,SHA-16-003,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 14.6,1998,الفرنسا,شرحبيل احمد يعزف العود,,yes,no,no
SHA-16-004,SHA-16-004,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2003-2005,بريطانيا، لندن,شرحبيل احمد امام قصر بوكينهام ,,yes,no,no
SHA-16-005,SHA-16-005,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2003-2005,بريطانيا، لندن,شرحبيل احمد امام قصر بوكينهام ,,yes,no,no
SHA-16-006,SHA-16-006,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 14.7,2005,بريطانيا، لندن,شرحبيل احمد بالعود وشخصان اخران ,,yes,no,no
SHA-16-007,SHA-16-007,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 15.2,1995,الخرطوم، كافوري، منزل السفير الفرنسي,شرحبيل احمد وفرقته,,yes,no,no
SHA-16-008,SHA-16-008,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 15.2,2009-2011,امدرمان,شرحبيل احمد واعضاء من اتحاد الجاز,,yes,no,no
SHA-16-009,SHA-16-009,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 15,2005,بريطانيا، منتشستر,شرحبيل احمد بالعود,,yes,no,no
SHA-16-010,SHA-16-010,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 15,early 2000s ,مصر، القاهرة,شرحبيل احمد بالجيتار,,yes,no,no
SHA-16-011,SHA-16-011,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2001,مصر، القاهرة,جمهور في حفل شرحبيل احمد,,yes,no,no
SHA-16-012,SHA-16-012,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2001,مصر، القاهرة,شرحبيل احمد وفرقته,,yes,no,no
SHA-16-013,SHA-16-013,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2001,مصر، القاهرة,شرحبيل احمد بالعود وفرقته,,yes,no,no
SHA-16-014,SHA-16-014,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2004-2005,مصر، القاهرة,شرحبيل احمد بالعود,,yes,no,no
